num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
10000,10000,15629.477052503078,13091.224828263166
10000,20000,22723.81706970562,21334.442289780196
10000,30000,31778.12251482506,30821.726570342267
10000,40000,41316.31740780821,40587.17213072165
10000,50000,51043.8854667132,50454.73579157651
10000,60000,60864.49015052341,60370.23905455802
10000,70000,70737.53730859734,70311.85504352479
10000,80000,80643.01004237527,80269.18949581793
10000,90000,90569.91350477985,90236.69048035906
10000,100000,100511.71242481173,100211.1329891656
10000,110000,110464.28054574013,110190.51969850913
10000,120000,120424.88527449494,120173.54942317214
10000,130000,130391.6456060126,130159.33908208733
10000,140000,140363.22458765065,140147.26870619977
10000,150000,150338.64602146664,150136.89050390245
10000,160000,160317.18054783513,160127.87311738916
10000,170000,170298.27231016284,170119.96617727418
10000,180000,180281.49027424582,180112.97702651343
10000,190000,190266.49508697167,190106.755048167
10000,200000,200253.01592239624,200101.18079388767
10000,210000,210240.8340386736,210096.15834842427
10000,220000,220229.7708261041,220091.6098057366
10000,230000,230219.67900552021,230087.4712335949
10000,240000,240210.436072671,240083.68970284885
10000,250000,250201.939275122,250080.22099598942
10000,260000,260194.1017862128,260077.02788735024
10000,270000,270186.8497676611,270074.0788474895
10000,280000,280180.1199852585,280071.34695148014
10000,290000,290173.8580008795,290068.80909792933
10000,300000,300168.0166951936,300066.4453547655
10000,310000,310162.5550567587,310064.2384131369
10000,320000,320157.4372498769,320062.17319622566
10000,330000,330152.6317895918,330060.2364774835
10000,340000,340148.11095620977,340058.4166606142
10000,350000,350143.85016807885,350056.70345557923
10000,360000,360139.82763654273,360055.08778647945
10000,370000,370136.02390092704,370053.5615387329
10000,380000,380132.42161287094,380052.11752222653
10000,390000,390129.0051745526,390050.7492610423
10000,400000,400125.7605689956,400049.4509526342
10000,410000,410122.67514383007,410048.21736169327
10000,420000,420119.73746909504,420047.04377240693
10000,430000,430116.93718175235,430045.92591431685
10000,440000,440114.26487058686,440044.8599175218
10000,450000,450111.7119457518,450043.84224319115
10000,460000,460109.27061492635,460042.869712769
10000,470000,470106.9336858426,470041.93935683125
10000,480000,480104.6945980453,480041.04848737275
10000,490000,490102.54736428114,490040.1946748007
10000,500000,500100.4864230464,500039.37563184585
10000,510000,510098.5066864535,510038.5892890889
10000,520000,520096.6034328219,520037.8337120528
10000,530000,530094.7723427648,530037.1071590174
10000,540000,540093.0093567714,540036.4079579422
10000,550000,550091.3107713041,550035.7346197622
10000,560000,560089.6731011408,560035.0857161504
10000,570000,570088.0931306367,570034.4599445298
10000,580000,580086.5678798462,580033.8561065613
10000,590000,590085.0945523723,590033.2730670867
10000,600000,600083.6705176446,600032.7097464129
10000,610000,610082.2933315899,610032.1651499899
10000,620000,620080.9607777692,620031.6384176925
10000,630000,630079.6706913558,630031.1286551801
10000,640000,640078.421081388,640030.6350628277
10000,650000,650077.2100428026,650030.1568538295
10000,660000,660076.0358377859,660029.6933410699
10000,670000,670074.8968121901,670029.2438585594
10000,680000,680073.7913994541,680028.8077699493
10000,690000,690072.718155387,690028.3845074954
10000,700000,700071.6756553524,700027.9734730792
10000,710000,710070.6626572876,710027.5742047187
10000,720000,720069.6778991579,720027.1861772534
10000,730000,730068.7201759197,730026.8088822499
10000,740000,740067.7884275826,740026.4419187765
10000,750000,750066.8815950067,750026.0848517023
10000,760000,760065.9987427403,760025.7373368266
10000,770000,770065.1388851475,770025.3989491407
10000,780000,780064.3011155388,780025.069313902
10000,790000,790063.48463563,790024.7481379125
